읍면동명,영유아 및 어린이,10대,20대,30대,40대,50대,60대,70대,80대 이상
내자동,0.0,1.4285714285714286,20.0,11.428571428571429,17.142857142857142,14.285714285714285,15.714285714285714,15.714285714285714,4.285714285714286
냉천동,5.714285714285714,1.9047619047619049,7.6190476190476195,7.6190476190476195,11.428571428571429,25.71428571428571,19.047619047619047,11.428571428571429,9.523809523809524
노고산동,0.39215686274509803,8.235294117647058,25.68627450980392,8.431372549019608,10.588235294117647,13.92156862745098,9.607843137254903,12.156862745098039,10.980392156862745
노량진동,1.0023584905660377,5.188679245283019,19.221698113207548,10.731132075471699,8.254716981132075,12.67688679245283,15.212264150943398,14.38679245283019,13.325471698113208
녹번동,2.7698863636363638,3.6221590909090913,7.2443181818181825,7.315340909090909,10.227272727272728,16.761363636363637,15.056818181818182,16.40625,20.59659090909091
논현동,1.1430437622468974,4.245591116917048,29.359895493141735,21.260613977792293,12.671456564337035,9.046374918354017,9.079033311561071,7.478772044415415,5.715218811234488
누상동,4.310344827586207,1.7241379310344827,6.896551724137931,13.793103448275861,8.620689655172415,23.275862068965516,11.206896551724139,18.96551724137931,11.206896551724139
누하동,2.380952380952381,4.761904761904762,4.761904761904762,4.761904761904762,7.142857142857142,19.047619047619047,14.285714285714285,21.428571428571427,21.428571428571427
능동,4.3557168784029034,5.263157894736842,14.519056261343014,11.978221415607985,11.796733212341199,14.519056261343014,13.611615245009073,12.885662431941924,11.070780399274046
다동,1.0752688172043012,3.225806451612903,17.20430107526882,21.50537634408602,23.655913978494624,16.129032258064516,15.053763440860216,2.1505376344086025,0.0
답십리동,2.675438596491228,3.3333333333333335,8.947368421052632,9.385964912280702,8.859649122807017,14.82456140350877,16.666666666666664,18.50877192982456,16.798245614035086
당산동,1.3605442176870748,8.16326530612245,22.108843537414966,14.965986394557824,10.884353741496598,13.945578231292515,11.564625850340136,7.8231292517006805,9.183673469387756
당산동1가,0.9404388714733543,3.4482758620689653,9.404388714733543,9.717868338557993,12.539184952978054,18.808777429467085,21.630094043887148,14.733542319749215,8.77742946708464
당산동2가,2.380952380952381,2.976190476190476,11.904761904761903,10.714285714285714,17.857142857142858,11.904761904761903,19.047619047619047,11.904761904761903,11.30952380952381
당산동3가,1.855287569573284,5.009276437847866,15.584415584415584,12.059369202226346,8.719851576994433,15.398886827458256,14.285714285714285,16.512059369202227,10.575139146567718
당산동4가,2.4822695035460995,5.319148936170213,6.028368794326241,15.24822695035461,12.056737588652481,10.28368794326241,16.312056737588655,19.148936170212767,13.120567375886525
당산동5가,2.493765586034913,6.483790523690773,12.468827930174564,10.723192019950124,7.73067331670823,9.476309226932669,15.96009975062344,14.713216957605985,19.950124688279303
당산동6가,0.8264462809917356,7.024793388429752,23.96694214876033,15.289256198347106,9.50413223140496,13.223140495867769,10.743801652892563,11.15702479338843,8.264462809917356
당인동,0.0,2.380952380952381,30.952380952380953,9.523809523809524,11.904761904761903,11.904761904761903,4.761904761904762,14.285714285714285,14.285714285714285
당주동,2.3255813953488373,2.3255813953488373,23.25581395348837,11.627906976744185,8.13953488372093,24.418604651162788,16.27906976744186,1.1627906976744187,10.465116279069768
대림동,2.7038099139696845,2.662843097091356,7.906595657517411,7.4969274887341255,11.265874641540352,18.10733306022122,20.811142974190904,17.738631708316262,11.30684145841868
대방동,2.207001522070015,5.098934550989346,11.187214611872145,7.9908675799086755,10.578386605783866,12.32876712328767,15.753424657534246,16.13394216133942,18.72146118721461
대신동,7.196969696969697,10.227272727272728,24.62121212121212,12.878787878787879,12.878787878787879,11.363636363636363,9.469696969696969,7.575757575757576,3.787878787878788
대조동,1.7501988862370723,3.659506762132061,10.580747812251392,7.159904534606206,9.387430389817025,16.467780429594274,17.899761336515514,18.85441527446301,14.240254574383451
대치동,1.8959257765227915,9.27793465106898,17.2650262202501,13.110125050423557,16.45824929407019,14.239612747075434,11.415893505445744,8.955223880597014,7.382008874546188
대현동,3.343465045592705,10.33434650455927,36.77811550151976,8.814589665653495,9.72644376899696,8.51063829787234,6.68693009118541,10.94224924012158,4.86322188449848
대흥동,3.389830508474576,5.593220338983051,13.728813559322035,8.135593220338983,10.508474576271185,13.559322033898304,9.322033898305085,20.677966101694913,15.084745762711865
도곡동,3.642172523961661,6.773162939297124,14.313099041533548,12.779552715654951,12.587859424920127,12.843450479233226,11.948881789137381,12.523961661341854,12.587859424920127
도렴동,0.0,0.0,39.130434782608695,4.3478260869565215,13.043478260869565,13.043478260869565,8.695652173913043,17.391304347826086,4.3478260869565215
